,NAME,PSRJ,P0,P1,BINCOMP,DISC
377,J1103-5403,J1103-5403,0.003393,3.68E-21,*,2011
378,J1103-6025,J1103-6025,0.396587,9.9E-16,*,2003
379,J1104-6103,J1104-6103,0.280905,1.97E-15,*,1996
380,J1105-4353,J1105-4353,0.351112,2.5E-15,*,2012
381,J1105-6037,J1105-6037,0.194938,2.18E-14,*,2017
382,J1105-6107,J1105-6107,0.063202,1.58E-14,*,1997
383,J1106-6438,J1106-6438,2.717934,2.33E-15,*,2004
384,J1107-5907,J1107-5907,0.252773,9.01E-18,*,2006
385,B1105-59,J1107-5947,1.516531,3.4E-16,*,1978
386,J1107-6143,J1107-6143,1.799396,1.56E-13,*,2003
387,B1107-56,J1110-5637,0.558254,2.06E-15,*,1992
388,J1112-6103,J1112-6103,0.064962,3.15E-14,*,2001
389,B1110-65,J1112-6613,0.334213,8.24E-16,*,1978
390,B1110-69,J1112-6926,0.820484,2.84E-15,*,1978
391,B1112-60,J1114-6100,0.88082,4.61E-14,*,1992
392,B1112+50,J1115+5030,1.65644,2.49E-15,*,1973
393,J1115-6052,J1115-6052,0.259777,7.23E-15,*,2001
394,J1116-2444,J1116-2444,0.867949,9.85E-16,*,2018
395,B1114-41,J1116-4122,0.943158,7.95E-15,*,1978
396,J1117-6154,J1117-6154,0.505097,1.25E-14,*,2003
397,J1117-6447,J1117-6447,1.155272,2.4E-16,*,2003
398,J1119-6127,J1119-6127,0.407963,4.02E-12,*,2000
399,B1118-79,J1119-7936,2.280597,3.67E-15,*,1978
400,B1119-54,J1121-5444,0.535787,2.78E-15,*,1978
401,J1123-4844,J1123-4844,0.244838,6.54E-17,*,1998
402,J1123-6102,J1123-6102,0.640234,6.46E-15,*,2001
403,J1123-6259,J1123-6259,0.271434,5.25E-15,*,1998
404,J1123-6651,J1123-6651,0.232976,2.75E-15,*,1998
405,J1124-5638,J1124-5638,0.18556,9E-18,*,2003
406,J1124-5916,J1124-5916,0.135477,7.53E-13,*,2002
407,J1124-6421,J1124-6421,0.479099,6.2E-16,*,2003
408,J1125-5825,J1125-5825,0.003102,6.09E-20,He[bbb+11],2010
409,J1125-6014,J1125-6014,0.00263,4.01E-21,He[lfl+06],2004
410,J1125+7819,J1125+7819,0.004202,6.96E-21,He(?)[tau19],2014
411,B1124-60,J1126-6054,0.202737,2.81E-16,*,1992
412,J1126-6942,J1126-6942,0.579416,3.3E-15,*,1998
413,J1128-6219,J1128-6219,0.515984,1.1E-17,*,2003
