,NAME,PSRJ,P0,P1,BINCOMP,
327,J0813+22,J0813+22,0.5314,NAN,NAN,
328,B0809+74,J0814+7429,1.292241,1.68E-16,NAN,
329,J0815+0939,J0815+0939,0.645161,1.39E-16,NAN,
330,J0818-3049,J0818-3049,0.763742,5.8E-16,NAN,
331,J0818-3232,J0818-3232,2.161259,7.53E-16,NAN,
332,B0818-13,J0820-1350,1.23813,2.11E-15,NAN,
333,J0820-3826,J0820-3826,0.124836,2.44E-15,NAN,
334,J0820-3921,J0820-3921,1.073567,1.22E-14,NAN,
335,B0818-41,J0820-4114,0.545446,2.23E-17,NAN,
336,J0821-4221,J0821-4221,0.396728,3.48E-15,NAN,
337,J0821-4300,J0821-4300,0.112799,9.28E-18,NAN,
338,B0820+02,J0823+0159,0.864873,1.05E-16,CO,
339,J0824+0028,J0824+0028,0.009861,1.47E-19,CO,
340,B0823+26,J0826+2637,0.530661,1.71E-15,NAN,
341,J0827+53,J0827+53,0.0135,NAN,NAN,
342,B0826-34,J0828-3417,1.848919,9.96E-16,NAN,
343,J0831-4406,J0831-4406,0.311674,1.28E-15,NAN,
344,J0834-4159,J0834-4159,0.121116,4.44E-15,NAN,
345,J0834-60,J0834-60,0.384645,NAN,NAN,
346,J0835-3707,J0835-3707,0.541404,9.78E-15,NAN,
347,B0833-45,J0835-4510,0.089328,1.25E-13,NAN,
348,J0836-4233,J0836-4233,0.738436,1.32E-15,NAN,
349,B0834+06,J0837+0610,1.273768,6.8E-15,NAN,
350,J0837-24,J0837-24,NAN,NAN,NAN,
351,B0835-41,J0837-4135,0.751625,3.54E-15,NAN,
352,J0838-2621,J0838-2621,0.308581,3.9E-17,NAN,
353,J0838-3947,J0838-3947,1.703946,8.13E-16,NAN,
354,J0839-66,J0839-66,0.449339,NAN,NAN,
355,B0839-53,J0840-5332,0.720614,1.64E-15,NAN,
356,B0840-48,J0842-4851,0.644365,9.56E-15,NAN,
357,J0843+0719,J0843+0719,1.36586,NAN,NAN,
358,J0843-5022,J0843-5022,0.208956,1.72E-16,NAN,
359,B0844-35,J0846-3533,1.116098,1.6E-15,NAN,
360,J0847-4316,J0847-4316,5.977493,1.2E-13,NAN,
361,J0848+16,J0848+16,0.4524,NAN,NAN,
362,J0849-6322,J0849-6322,0.367953,7.91E-16,NAN,
363,B0841+80,J0849+8028,1.602228,4.46E-16,NAN,
364,B0853-33,J0855-3331,1.267536,6.32E-15,NAN,
365,J0855-4644,J0855-4644,0.064686,7.26E-15,NAN,
366,J0855-4658,J0855-4658,0.575072,1.36E-14,NAN,
367,B0855-61,J0856-6137,0.962509,1.68E-15,NAN,
368,J0857+33,J0857+33,0.243,NAN,NAN,
369,J0857-4424,J0857-4424,0.326774,2.33E-14,NAN,
370,J0900-3144,J0900-3144,0.01111,4.89E-20,CO,
371,J0901-4624,J0901-4624,0.441995,8.75E-14,NAN,
372,B0901-63,J0902-6325,0.660313,1.07E-16,NAN,
373,B0903-42,J0904-4246,0.965171,1.89E-15,NAN,
374,B0904-74,J0904-7459,0.549553,4.63E-16,NAN,
375,J0905-4536,J0905-4536,0.988281,1.49E-16,NAN,
376,J0905-5127,J0905-5127,0.346287,2.49E-14,NAN,
377,J0905-6019,J0905-6019,0.340854,5.22E-16,NAN,
378,B0905-51,J0907-5157,0.253558,1.84E-15,NAN,
379,B0906-17,J0908-1739,0.401626,6.69E-16,NAN,
380,B0906-49,J0908-4913,0.106769,1.51E-14,NAN,
381,B0909-71,J0909-7212,1.36289,3.33E-16,NAN,
382,B0904+77,J0910+77,1.57905,NAN,NAN,
383,J0912-3851,J0912-3851,1.526085,3.59E-15,NAN,
384,J0919-42,J0919-42,0.8126,NAN,NAN,
385,J0919-6040,J0919-6040,1.216976,1E-17,NAN,
386,B0917+63,J0921+6254,1.567994,3.61E-15,NAN,
387,B0919+06,J0922+0638,0.430627,1.37E-14,NAN,
388,J0922-4949,J0922-4949,0.950289,9.76E-14,NAN,
389,J0922-52,J0922-52,0.00968,NAN,NAN,
390,J0923-31,J0923-31,NAN,NAN,NAN,
391,B0922-52,J0924-5302,0.746295,3.55E-14,NAN,
392,B0923-58,J0924-5814,0.739505,4.92E-15,NAN,
393,J0927+2345,J0927+2345,0.761889,3.05E-16,NAN,
394,J0928+06,J0928+06,2.0604,NAN,NAN,
395,J0928+30,J0928+30,2.0915,NAN,NAN,
396,J0930-2301,J0930-2301,1.807069,3.36E-15,NAN,
397,J0931-1902,J0931-1902,0.004638,3.63E-21,NAN,
398,J0932-3217,J0932-3217,1.931627,2.5E-16,NAN,
399,J0932-5327,J0932-5327,4.392159,8.37E-15,NAN,
400,J0934-4154,J0934-4154,0.570409,2.69E-16,NAN,
401,B0932-52,J0934-5249,1.444777,4.66E-15,NAN,
402,J0935+33,J0935+33,0.9615,NAN,NAN,
403,J0940-5428,J0940-5428,0.087545,3.29E-14,NAN,
404,J0941-39,J0941-39,0.586778,NAN,NAN,
405,J0941-5244,J0941-5244,0.658558,1.14E-15,NAN,
406,B0940-55,J0942-5552,0.664367,2.29E-14,NAN,
407,B0941-56,J0942-5657,0.808164,3.96E-14,NAN,
408,B0940+16,J0943+1631,1.087418,9.11E-17,NAN,
409,J0943+2253,J0943+2253,0.532975,8.98E-17,NAN,
410,B0942-13,J0944-1354,0.570264,4.53E-17,NAN,
411,J0944+4106,J0944+4106,2.229431,4.42E-15,NAN,
412,J0945-4833,J0945-4833,0.331586,4.83E-15,NAN,
413,B0943+10,J0946+0951,1.097706,3.49E-15,NAN,
414,J0947+2740,J0947+2740,0.851014,4.3E-16,NAN,
415,J0949-6902,J0949-6902,0.640016,6.37E-16,NAN,
416,J0951-71,J0951-71,0.212378,NAN,NAN,
417,J0952-0607,J0952-0607,0.001414,NAN,UL,
418,B0950-38,J0952-3839,1.373815,5.8E-16,NAN,
419,B0950+08,J0953+0755,0.253065,2.3E-16,NAN,
420,J0954-5430,J0954-5430,0.472834,4.39E-14,NAN,
421,B0953-52,J0955-5304,0.862122,3.53E-15,NAN,
422,J0955-61,J0955-61,0.001999,NAN,NAN,
423,J0957-06,J0957-06,1.7237,NAN,NAN,
424,J0957-5432,J0957-5432,0.203557,1.95E-15,NAN,
425,B0957-47,J0959-4809,0.670086,8.2E-17,NAN,
426,J1000+08,J1000+08,0.440372,NAN,NAN,
427,J1000-5149,J1000-5149,0.255677,9.59E-16,NAN,
428,B0959-54,J1001-5507,1.436631,5.17E-14,NAN,
429,J1001-5559,J1001-5559,1.661177,8.6E-16,NAN,
430,J1001-5939,J1001-5939,7.73364,5.99E-14,NAN,
431,J1002-5559,J1002-5559,0.777501,1.57E-15,NAN,
432,J1002-5919,J1002-5919,0.713489,1.04E-16,NAN,
433,B1001-47,J1003-4747,0.307074,2.07E-15,NAN,
434,J1005+30,J1005+30,NAN,NAN,NAN,
435,J1006-6311,J1006-6311,0.835797,5.73E-16,NAN,
436,J1010+15,J1010+15,NAN,NAN,NAN,
437,B1010-23,J1012-2337,2.517945,8.81E-16,NAN,
438,J1012-4235,J1012-4235,0.003101,NAN,He,
439,J1012+5307,J1012+5307,0.005256,1.71E-20,He,
440,J1012-5830,J1012-5830,2.133591,3.77E-14,NAN,
